ID,Name,Company,Category,Subcategory,Input Type,Output Type,Task Description,Cost,Ease of Use,Integration,Languages,Rating,Popularity,Accuracy ,Speed ,Training Domain,Link,Unnamed: 18
19.0,notionai,notion labs,productivity ai,"document writing, summarization, workflow","text, notes","text ,summarise","Integrated into Notion for auto-summaries, content writing, brainstorming, and task automation.",free,1.0,"notion app, web",multilingual,0.8800000000000001,0.5,80-88%,Fast,"productivity, knowledge management, note-taking",https://www.notion.so/product/ai,unknown
20.0,magnific,freepik,image upscaling and enhancement tool,"ai-powered image upscaler & enhancer with sliders (creativity, hdr, resemblance)","image upload (various formats like jpg, png, webp)",high-resolution enhanced images (up to 16× original); includes detail refinement and texture enhancement through ai,"Enhances image resolution with added detail using AI, guided by user-controlled sliders like Creativity, HDR, and Resemblance.",unknown,0.0,"web,",english,0.826,0.5,95%,Fast,image enhancement / super-resolution ai,https://magnific.ai/,unknown
21.0,runwayml,runway,generative ai,"video editing, text-to-video, ai effects","text, video","video, image","AI for video editing: removes backgrounds, generates videos from text, adds effects, edits footage.",free,1.0,"web app, api",multilingual,0.9199999999999999,0.5,80-90%,Medium,"video editing, generative video, creative media",https://runwayml.com,unknown
22.0,synthesia,synthesia,generative ai (video),"ai avatars, corporate training videos",text script,video,Converts written scripts into professional videos with AI avatars for corporate training & presentations.,unknown,1.0,web platform,multilingual,0.9,0.5,85-90%,Medium,"e-learning, corporate training, marketing videos",https://www.synthesia.io,unknown
23.0,googleaistudio,google,ai development / prototyping platform,web-based ide for prototyping with gemini models,"text, image, video, prompts (multimodal)","ai-generated text, images, code snippets, model prompts","Enables prototyping, prompt engineering, model experimentation with Gemini; includes code export and API key generation",free,0.0,"web, api, plugin, sdk",multilingual,0.8400000000000001,0.5,unknown,Fast,multimodal ai / language & vision (gemini-based),https://aistudio.google.com/,unknown
24.0,veed.io,veed limited,"video, audio, automation","video editing, ai video generation, transcription & subtitling, screen recording, video hosting, text-to-speech","video, audio, image, text","video (mp4), audio (mp3), text","An all-in-one browser-based video editor for marketers, creators, and businesses, combining a timeline editor with AI tools like auto-subtitling, noise removal, eye contact correction, and text-to-video to make pro-level production fast and easy for non-editors.",free,1.0,"web, api",multilingual,0.9800000000000001,0.5,98.50%,Medium,videos,https://www.veed.io,unknown
25.0,typefully,typefully,"text, automation, data","social media management, ai writing assistant, content scheduling, analytics","text, image, video","text (formatted social media posts), data (analytics reports)","A minimalist writing and scheduling platform for X and LinkedIn, offering a distraction-free space for complex threads, AI-powered idea generation and rewriting, automated posting, and detailed analytics for engagement and growth.",free,1.0,"web, api",multilingual,0.9199999999999999,0.5,unknown,Fast,social media content writing,https://typefully.com,unknown
26.0,gamma,gamma tech,"text, image, automation, data","presentation generation, document creation, ai writing assistant, web page builder, analytics",text,presentation,"An AI-powered platform for creating presentations, documents, and webpages from text prompts, using a fluid card-based format as an alternative to slides. It auto-generates design, layout, and content, letting users focus on refining their message.",free,1.0,"web, api",multilingual,0.96,0.5,unknown,Fast,presentations,https://gamma.app,unknown
27.0,elevenlabs,eleven labs,"speech, voice ai, audio","ai voice platform for text-to-speech, voice cloning (instant & professional), voice design, ai dubbing studio, speech-to-text, voice isolator, multilingual conversational agents",text input and voice samples (for cloning),"lifelike synthetic speech (mp3/wav), voice clones, dubbing output","Provides ultra-realistic TTS that understands context, emotion, prosody, and intonation; supports instant voice cloning from short clips (1–5 min) and professional cloning from longer datasets; enables voice customization via voice design; offers AI dubbing that retains speaker identity across languages; includes speech-to-text transcription, voice isolation, and support for real-time conversational agents through low-latency models.",free,0.0,"web, api, sdk",multilingual,0.966,0.5,95-98%,Fast,"speech synthesis, voice cloning, emotion-aware ai speech",https://elevenlabs.io/,unknown
28.0,tl;dv,tl;dv.io,ai meeting intelligence / note taker,"ai-powered meeting assistant: recording, transcription, timestamping, video clipping, summarization, multi-meeting insights, ai coaching & crm automation","live virtual meeting audio/video (zoom, google meet, teams); uploaded recordings","transcripts with speaker ids, ai-generated summaries, timestamped highlight clips, multi-meeting insights, email drafts, crm updates","Auto-records virtual meetings, generates speaker-attributed transcripts (>90 % accuracy), summarizes with key points and action items, timestamps key moments and clips, integrates with CRMs and workflow tools, offers multi-meeting trend reports and AI coaching insights",free,0.0,"web, api, plugin",multilingual,0.9259999999999999,0.5,>90%,Fast,"speech recognition, natural language processing, conversational intelligence, meeting analytics",https://tldv.io/,unknown
29.0,murfai,murf inc.,audio,ai voiceovers for business,text,audio,"Creates studio-quality voiceovers for ads, presentations, and e-learning",free,1.0,"web, api",multilingual,0.8800000000000001,0.5,85-90%,Medium-Fast,"voiceovers, corporate communication",https://murf.ai,unknown
30.0,klingai,kuaishou technology,video & image generative ai,"text-to-video, image-to-video, video extension, scene editing with motion brush, style transfer, neural style transfer","text prompts, still images","high-resolution videos (up to 1080p, up to 5 minutes), animated visuals with camera control, tts-backed audio","Generates realistic video from prompts/images (text-to-video, image-to-video), allows editing via motion brush & camera control, applies style transfer, extends video duration, and adds audio/TTS components intelligently",free,0.0,"mobile app, web, api",english,0.8800000000000001,0.5,92-96%,Medium-Fast,"video generation (diffusion-transformer models, 3d vae), neural style transfer, multimodal ai",https://www.klingai.com/,unknown
31.0,scribeai,scribeai,productivity ai,sop & workflow documentation,"actions, screens","docs, guides",Captures your screen & clicks to auto-generate SOPs and training docs,free,1.0,"chrome extension, web app",english,0.86,0.5,80-85%,Fast,"business processes, training docs",https://scribehow.com,unknown
32.0,play.ht,play.ht,audio ai,text-to-speech & audiobooks,text,audio,Converts text into natural-sounding voiceovers for podcasts & audiobooks,free,1.0,"web ,api",multilingual,0.9,0.5,88-92%,Fast,"text-to-speech, audiobook narration",https://play.ht,unknown
33.0,gemini,google,multimodal ai assistant / large language model platform,"multimodal llms (ultra, pro, flash, nano); integrated ai assistant across workspace apps, search, tools like deep research, gemini live, vids, veo video generation, canvas document editing","text, images, code, audio, video, search context, files, multimodal prompts","text responses, images (via imagen 4), video clips (via veo), summaries, code generation, brainstorming content, calendar and email drafts, research reports, ai-crafted storybooks","A powerful multimodal AI that responds across text, code, image, audio, and video; powers intelligent features in Google Workspace apps (Docs, Sheets, Gmail, Slides, Search, Calendar); enables Deep Research, real-time conversations (Gemini Live), creative outputs (Canvas, Storybook), and multiplatform task execution",free,0.0,"web, api, mobile app, extensions",multilingual,0.9,0.5,>90%,Fast,"multimodal large-scale llms for reasoning, coding, multimodal understanding; trained on diverse modalities via tpus; fine-tuned for interactive tasks and creative workflows",https://gemini.google.com/,unknown
34.0,aiva,aiva technologies,music ai,classical/background music composition,"text , midi",music composition,"AI composer for orchestral, classical, and cinematic background scores",free,1.0,"web, api",multilingual,0.8400000000000001,0.5,80-88%,Medium,classical music theory & compositions,https://www.aiva.ai,unknown
35.0,sunoai,suno inc.,music ai,ai song & music generation,text,music (full song),Creates complete songs (lyrics + vocals + instrumentals) from text prompts,free,1.0,"web, discord",english,0.9,0.5,82-90%,Medium,music generation (lyrics + instrumentals),https://suno.ai,unknown
36.0,pika labs,pika ai,video ai,"text-to-video, animation",text,short video clips,Generates creative short videos and animations from text prompts,free,1.0,"web, api",english,0.8800000000000001,0.5,75-85%,Medium,video generation & animation,https://pika.art,unknown
37.0,fathom,fathom video,meeting ai,ai-powered meeting highlights,"audio, video","transcript, highlights","Automatically records, transcribes, and highlights meetings",free,1.0,"zoom, google meet, teams",english,0.8800000000000001,0.5,82-90%,Fast,meeting recording & productivity,https://fathom.video,unknown
39.0,github copilot,github,code,context-aware code autocompletion,text,code,"AI pair programmer integrated in IDEs that generates context-aware code completions, suggests idiomatic solutions, and explains unfamiliar functions. Helps developers prototype faster and reduce repetitive coding.",unknown,3.0,"plugin, api",english,0.9400000000000001,0.5,90%,Fast,programming,https://github.com/features/copilot,unknown
40.0,opusclip,opus,video,ai video repurposing & social clipping,video,short clips,"AI-powered platform that detects key highlights in long-form videos and automatically repurposes them into short, social-media-friendly clips with captions, transitions, and engagement optimization.",free,1.0,web,english,0.9,0.5,82%,Fast,video editing,https://www.opus.pro/,unknown
41.0,canva magic studio,canva,design,ai-powered creative design suite,text/image,designs,"AI suite inside Canva that generates designs, layouts, images, and videos from text prompts. Provides automated branding consistency and multimodal creative support for marketers, creators, and businesses.",free,1.0,"web, mobile app",multilingual,0.9400000000000001,0.5,88%,Fast,design,https://www.canva.com/magic-studio/,unknown
42.0,replit ghostwriter,replit,code,integrated ai code assistant,text,code,"AI coding companion built into Replit IDE offering inline completions, code refactoring, debugging, and explanations. Aimed at both students learning to code and developers looking for productivity boosts.",unknown,3.0,"web, plugin",english,0.9199999999999999,0.5,87%,Fast,programming,https://replit.com/ghostwriter,unknown
43.0,freepik ai,freepik,design,stock-style image generation,text,images,"AI system for generating high-quality, stock-style illustrations and images tailored to commercial and editorial needs. Allows customization of design elements for brand-specific assets.",free,1.0,web,multilingual,0.8800000000000001,0.5,80%,Fast,design,https://www.freepik.com/ai,unknown
44.0,eclipse theia ai,eclipse foundation,code,cloud ide with ai code assistance,text,code,"Cloud-based development environment extended with AI code suggestions, completion, and analysis. Enables distributed teams to collaborate on codebases with AI productivity support.",free,3.0,"web, sdk",english,0.86,0.5,78%,Medium,programming,https://theia-ide.org/,unknown
45.0,vibecode,vibecode,code,lightweight ai coding assistant,text,code,"Minimal AI assistant that integrates into editors to provide inline coding help, autocompletions, and small-scale bug detection. Focused on speed and simplicity for individual developers.",free,1.0,"web, plugin",english,0.8,0.5,74%,Medium,programming,https://vibecode.com/,unknown
46.0,qodo,qodo,code,ai-driven code review & suggestion tool,text,code,"AI tool that provides inline code review comments, style corrections, and security issue detection. Supports collaborative coding by highlighting potential issues before deployment.",free,2.0,"web, plugin",english,0.82,0.5,75%,Medium,programming,https://qodo.ai/,unknown
47.0,tabnine,codota,code,predictive code autocompletion engine,text,code,Predictive AI model that learns developer patterns to autocomplete code intelligently across multiple programming languages. Optimized for enterprise adoption and IDE integration.,free,3.0,"plugin, api",multilingual,0.9199999999999999,0.5,89%,Fast,programming,https://www.tabnine.com/,unknown
48.0,codiga,codiga,code,automated code review & refactoring,text,code suggestions,"AI tool providing automatic code reviews, linting, and refactoring recommendations. Ensures adherence to best practices and coding standards, reducing human code review time.",free,2.0,"plugin, api",english,0.86,0.5,81%,Medium,programming,https://www.codiga.io/,unknown
49.0,deepcode ai,snyk,code,bug detection & security vulnerability scan,text,code feedback,"Advanced AI trained on millions of repositories to detect bugs, vulnerabilities, and anti-patterns. Suggests security-focused code fixes to reduce risk in production deployments.",unknown,3.0,"plugin, api",english,0.9,0.5,90%,Fast,programming,https://snyk.io/developer-tools/,unknown
50.0,sourcegraph cody,sourcegraph,code,ai codebase search & chat,text,code/answers,"AI tool enabling semantic search and Q&A over large codebases. Allows developers to query repositories in natural language and receive code references, summaries, and examples.",free,2.0,"web, plugin, api",english,0.8800000000000001,0.5,86%,Fast,programming,https://about.sourcegraph.com/cody,unknown
51.0,figstack,figstack,code,code explanation & language translation,text,explanation,"AI platform that explains, documents, and translates code across multiple languages. Supports learning by breaking down code into natural language explanations with contextual examples.",free,1.0,web,english,0.8400000000000001,0.5,78%,Fast,programming,https://www.figstack.com/,unknown
52.0,intellicode,microsoft,code,enhanced intellisense ai suggestions,text,code,Microsoft’s AI extension for Visual Studio that augments IntelliSense with intelligent suggestions based on open-source repositories and developer context. Tailored for enterprise coding workflows.,free,3.0,plugin,english,0.9199999999999999,0.5,88%,Fast,programming,https://visualstudio.microsoft.com/services/intellicode/,unknown
53.0,codegeex,thudm,code,multilingual code generation model,text,code,Large-scale multilingual AI model designed for code generation and completion. Supports multiple programming languages and contextual awareness for developers across regions.,free,3.0,"api, plugin",multilingual,0.8800000000000001,0.5,84%,Medium,programming,https://codegeex.cn/,unknown
54.0,cline,cline,code,vs code ai development agent,text,code,"Open-source dev agent integrated into VS Code that provides smart completions, debugging, and workflow automation. Designed for developers who want transparent and customizable AI coding support.",free,3.0,plugin,english,0.86,0.5,76%,Medium,programming,https://cline.bot/,unknown
55.0,nyota,nyota,code,team-oriented ai coding assistant,text,code,"Collaborative AI coding assistant that supports team development workflows by suggesting improvements, managing snippets, and aligning with shared style guides.",free,2.0,"web, plugin",english,0.8400000000000001,0.5,77%,Medium,programming,https://nyota.ai/,unknown
56.0,google veo,google,video,text-to-video generation model,text,video,"Advanced generative video AI that converts text prompts into realistic cinematic video clips. Targets creative professionals for marketing, film, and entertainment applications.",unknown,2.0,"api, web",english,0.9199999999999999,0.5,91%,Medium,video,https://deepmind.google/,unknown
57.0,manus ai,manus,productivity & workflow,ai-powered writing & editing assistant,text,text,"Writing assistant that improves clarity, grammar, and tone while offering suggestions for style enhancement. Positioned as a productivity booster for professionals and academics.",free,1.0,"web, plugin",multilingual,0.9,0.5,83%,Fast,writing,https://manus.ai/,unknown
58.0,deep research,xai,research,web-connected ai research assistant,text,summaries,"Research-focused assistant that crawls and synthesizes information from the web to answer complex multi-step questions. Helps analysts, students, and professionals save research time.",free,2.0,"web, api",english,0.8800000000000001,0.5,85%,Fast,research,https://x.ai/,unknown
59.0,notebooklm,google,research,ai-powered knowledge notebook,text,notes/summaries,"AI research notebook that ingests documents, organizes them, and generates structured summaries. Provides reasoning support for students, analysts, and researchers working with large volumes of text.",free,2.0,"web, api",english,0.9,0.5,86%,Medium,research,https://notebooklm.google/,unknown
60.0,fireflies,fireflies.ai,productivity & workflow,ai meeting recorder & summarizer,audio,transcripts,"AI assistant for meetings that records audio, generates searchable transcripts, extracts key points, and creates action items. Works with Zoom, Google Meet, and MS Teams.",free,1.0,"web, plugin, api",multilingual,0.9199999999999999,0.5,90%,Fast,meetings,https://fireflies.ai/,unknown
61.0,avoma,avoma,productivity & workflow,ai meeting insights & collaboration platform,audio,notes/insights,"Enterprise-grade AI meeting assistant that not only records and transcribes but also provides deal intelligence, coaching insights, and workflow integration for sales and product teams.",unknown,4.0,"web, api",english,0.9,0.5,88%,Medium,meetings,https://www.avoma.com/,unknown
62.0,gumloop,gumloop,automation,visual ai workflow builder,text,automations,"No-code AI workflow automation platform where users can visually build pipelines that connect APIs, models, and data sources. Targeted at small businesses and non-developers.",free,1.0,web,english,0.86,0.5,78%,Medium,automation,https://www.gumloop.com/,unknown
63.0,deepbrain,deepbrain,video,ai avatar video generator,text,talking avatars,"Generates lifelike AI avatar videos from text scripts, suitable for e-learning, corporate training, and marketing. Offers voice sync, lip sync, and multilingual avatar customization.",unknown,2.0,"web, api",multilingual,0.9,0.5,87%,Medium,video,https://www.deepbrain.io/,unknown
64.0,ideogram ai,ideogram,design,ai art & typography generator,text,images,"AI creative design tool that generates visually rich artwork and integrates custom typography into text-to-image results. Often used for branding, creative posters, and unique social media visuals.",free,1.0,web,multilingual,0.9199999999999999,0.5,89%,Fast,design,https://ideogram.ai/,unknown
65.0,anyword,anyword,marketing,ai marketing copy generator,text,marketing copy,"AI-powered platform that generates persuasive and brand-consistent ad copy for social media, email, and landing pages. Uses predictive analytics to improve conversion rates.",unknown,1.0,"web, api",english,0.9,0.5,91%,Fast,marketing,https://anyword.com/,unknown
66.0,writer,writer,writing,enterprise writing assistant,text,text/corrections,"AI platform for businesses that enforces brand style guides, checks grammar, and suggests rewrites. Focused on maintaining compliance and consistency in enterprise communication.",unknown,4.0,"web, plugin, api",english,0.8800000000000001,0.5,84%,Fast,writing,https://writer.com/,unknown
67.0,prowritingaid,orpheus tech,writing,grammar & style analysis,text,text/reports,"Comprehensive grammar checker that also analyzes writing style, readability, and structure. Popular among authors, students, and professionals for polishing long-form content.",free,1.0,"web, plugin",english,0.9,0.5,88%,Fast,writing,https://prowritingaid.com/,unknown
68.0,buffer,buffer,marketing,social media management & scheduler,text,scheduled posts,"Social media management platform enhanced with AI that helps craft, optimize, and schedule posts across multiple platforms. Offers analytics for engagement tracking.",free,1.0,"web, api, mobile app",multilingual,0.9199999999999999,0.5,89%,Fast,marketing,https://buffer.com/,unknown
69.0,feedhive,feedhive,marketing,ai social content generator,text,social posts,"AI-based content creation tool for social platforms. Generates ideas, repurposes posts, and suggests hashtags optimized for engagement.",free,1.0,web,english,0.8800000000000001,0.5,83%,Fast,marketing,https://feedhive.io/,unknown
70.0,reclaim,reclaim.ai,productivity & workflow,ai calendar & task optimizer,text,calendar events,"Smart productivity app that automatically prioritizes tasks, schedules meetings, and reserves focus time. Helps professionals maintain work-life balance with adaptive calendar AI.",free,1.0,"web, plugin",english,0.9,0.5,85%,Fast,productivity,https://reclaim.ai/,unknown
71.0,clockwise,clockwise,productivity & workflow,intelligent calendar scheduling,text,schedules,AI-powered smart calendar that optimizes meeting times and reduces conflicts. Provides analytics on time usage for individuals and teams.,free,1.0,"web, plugin",english,0.8800000000000001,0.5,84%,Medium,productivity,https://www.getclockwise.com/,unknown
72.0,tome,tome,presentation,generative ai presentation builder,text,slides,"AI-first presentation creator that transforms text prompts into structured slide decks with layouts, images, and storytelling flow. Used for pitch decks, reports, and educational slides.",free,1.0,web,english,0.9,0.5,86%,Fast,presentations,https://tome.app/,unknown
73.0,beautiful.ai,beautiful.ai,presentation,smart ai presentation designer,text,slides,"Automated presentation tool with AI-driven design suggestions. Ensures consistent branding, alignment, and visual storytelling across slides.",free,1.0,web,english,0.9199999999999999,0.5,87%,Fast,presentations,https://www.beautiful.ai/,unknown
74.0,teal,teal,career,ai career & resume manager,text,portfolios,"Career development platform that organizes job applications, generates resumes, and tracks progress. Uses AI to align resumes with job descriptions.",free,1.0,web,english,0.86,0.5,82%,Medium,career,https://www.tealhq.com/,unknown
75.0,kickresume,kickresume,career,ai resume & cover letter builder,text,resumes,AI-powered resume and cover letter builder with templates optimized for recruiters. Offers customization tips and job-specific keyword recommendations.,free,1.0,web,multilingual,0.9199999999999999,0.5,88%,Fast,career,https://kickresume.com/,unknown
76.0,asana ai,asana,productivity & workflow,ai project & task automation,text,tasks/projects,"AI features inside Asana for automatically assigning tasks, predicting deadlines, and summarizing project updates. Supports large-scale team collaboration.",unknown,4.0,"web, api",english,0.9199999999999999,0.5,89%,Medium,productivity,https://asana.com/,unknown
77.0,any.do ai,any.do,productivity & workflow,smart ai task planner,text,task lists,"Personal productivity app with AI features for task prioritization, reminders, and scheduling. Integrates with Google and Outlook calendars for seamless time management.",free,1.0,"web, mobile app",multilingual,0.8800000000000001,0.5,83%,Medium,productivity,https://www.any.do/,unknown
78.0,rephrase.ai,rephrase.ai,video,ai avatar spokesperson video generator,text,talking videos,"Creates lifelike AI avatar videos that deliver scripted content. Used by businesses for personalized marketing, training, and communication. Includes voice sync, facial animation, and customization options.",unknown,2.0,"web, api",english,0.86,0.5,82%,Medium,video,https://www.rephrase.ai/,unknown
79.0,otio,otio,productivity & workflow,ai personal notes & task assistant,text,tasks/notes,"Lightweight AI productivity tool that manages notes, reminders, and task lists. Provides simple prioritization and organization features for individuals.",free,1.0,"web, mobile app",english,0.8400000000000001,0.5,76%,Medium,productivity,https://www.otio.ai/,unknown
80.0,caption my photos,caption my photos,social media,ai photo caption generator,image,captions,"AI system that generates context-aware captions for uploaded photos. Designed for social media creators who need fast, engaging content for Instagram, Facebook, and other platforms.",free,1.0,web,english,0.8400000000000001,0.5,78%,Fast,social media,https://captionmyphotos.com/,unknown
81.0,logomark ai,logomark,design,ai logo generator,text,logos,"Generates brand-specific logos from text prompts. Allows customization of styles, colors, and typography for businesses and startups seeking unique branding assets.",free,1.0,web,multilingual,0.9,0.5,85%,Fast,design,https://logomark.ai/,unknown
82.0,voice.ai,voice.ai,audio,real-time voice changer,audio,new voice,"Real-time voice transformation tool that modifies a user’s voice into various styles and identities. Popular in gaming, streaming, and social communication.",free,2.0,"desktop app, web",english,0.86,0.5,81%,Fast,audio,https://voice.ai/,unknown
83.0,luma ai,luma labs,3d/video,ai 3d capture & reconstruction,image/video,3d models,"Converts videos and photos into photorealistic 3D models. Useful for product design, AR/VR applications, and creative industries requiring fast 3D asset generation.",free,2.0,"web, api",multilingual,0.9,0.5,88%,Medium,3d/ar/vr,https://lumalabs.ai/,unknown
84.0,tutorai,tutorai,education,personalized ai learning tutor,text,lessons,"Adaptive learning assistant that provides personalized lessons, explanations, and practice questions. Helps students across subjects by adjusting teaching style to their progress and comprehension.",free,1.0,web,english,0.8800000000000001,0.5,83%,Fast,education,https://tutorai.me/,unknown
85.0,builder.ai,builder.ai,development,no-code ai app builder,text,apps,"AI-powered development platform that generates entire mobile and web apps without coding. Supports customization, scaling, and deployment for businesses.",unknown,4.0,"web, api",multilingual,0.9,0.5,86%,Medium,development,https://www.builder.ai/,unknown
86.0,wiseone,wiseone,research,ai reading & content explanation assistant,text,summaries,"AI browser extension that explains online content, simplifies complex articles, and provides contextual insights. Aimed at knowledge workers and students who need faster comprehension.",free,1.0,"web, plugin",english,0.86,0.5,80%,Fast,research,https://wiseone.io/,unknown
87.0,copysmith,copysmith,marketing,ai copywriting platform,text,marketing copy,"AI-powered platform for generating product descriptions, ad copy, and email campaigns. Tailored for e-commerce and marketing teams seeking efficiency at scale.",unknown,2.0,"web, api",english,0.86,0.5,84%,Fast,marketing,https://copysmith.ai/,unknown
88.0,firefly ai,adobe,design,generative image creation in adobe suite,text,images,AI image generation integrated into Adobe Creative Cloud. Enables designers to create realistic or stylized visuals while maintaining brand assets within Photoshop and Illustrator workflows.,unknown,2.0,"plugin, api",multilingual,0.9,0.5,90%,Fast,design,https://www.adobe.com/sensei/generative-ai/firefly.html,unknown
89.0,hexagram ai,hexagram,marketing,ai interactive campaign creator,text,campaigns,Marketing-focused AI tool that generates interactive advertising campaigns and story-driven brand experiences. Designed for agencies looking to increase engagement through gamified content.,free,2.0,"web, api",english,0.8400000000000001,0.5,79%,Medium,marketing,https://hexagram.io/,unknown
